% Model:              PeriodicGrating2DV09_2.mph
% Version:            COMSOL 5.3.1.275
% Date:               Jan 2 2019, 15:34
% Dimension:          1
% Nodes:              100
% Expressions:        1
% Description:        Global
% x                       Height
0                         6.797949436202806E-4
0.5050505050505051        6.727144212994772E-4
1.0101010101010102        6.533545775790017E-4
1.5151515151515151        6.273719768322393E-4
2.0202020202020203        6.042241029124754E-4
2.525252525252525         5.971857435948954E-4
3.0303030303030303        6.233149661037222E-4
3.5353535353535355        7.033119112331634E-4
4.040404040404041         8.61198781397244E-4
4.545454545454546         0.0011237374622654142
5.05050505050505          0.0015194948363416825
5.555555555555556         0.00207746858767473
6.0606060606060606        0.0028252024275406363
6.565656565656566         0.003786353592822777
7.070707070707071         0.004977730747217809
7.575757575757577         0.006405898435656173
8.080808080808081         0.008063542693433394
8.585858585858585         0.00992590400834528
9.090909090909092         0.011947695865613495
9.595959595959597         0.014061022392318887
10.1010101010101          0.016174868150107626
10.606060606060606        0.018176739984174035
11.111111111111112        0.01993698419375689
11.616161616161618        0.02131617982145906
12.121212121212121        0.022175826927942465
12.626262626262625        0.022392324623385054
13.131313131313131        0.021874023722835315
13.636363636363637        0.020581220559861457
14.141414141414142        0.01855103170784713
14.646464646464647        0.01594898981840238
15.151515151515154        0.013683743811403828
15.65656565656566         0.008216986867556017
16.161616161616163        0.005486762691806308
16.666666666666664        0.002991321483538645
17.17171717171717         0.0013787621435377283
17.67676767676768         0.0010692860906875612
18.181818181818183        0.0022403662135830503
18.686868686868685        0.00499259891868193
19.191919191919194        0.9876537051799081
19.6969696969697          0.013694957614408039
20.2020202020202          0.0172260043802517
20.707070707070706        0.021528881164414957
21.21212121212121         0.022301138664712918
21.71717171717172         0.022565784334239794
22.222222222222225        0.02052617418920214
22.727272727272723        0.014372242220479173
23.232323232323235        0.01182197685794892
23.73737373737374         0.006589943642160163
24.242424242424242        0.0030272084166082275
24.747474747474747        0.0014249903826355408
25.25252525252525         0.0025493163995150094
25.757575757575758        0.005847077976583065
26.262626262626263        0.011819322509826098
26.767676767676768        0.016504217528511056
27.272727272727273        0.020714867583521025
27.77777777777778         0.02193141540861126
28.282828282828284        0.020451184710209836
28.787878787878793        0.016130034004045675
29.292929292929294        0.010749321721021943
29.7979797979798          0.00471417316636741
30.303030303030308        0.0019154641428481849
30.808080808080806        0.0030822334020734476
31.31313131313132         0.00576582504978283
31.818181818181817        0.010975856529035436
32.323232323232325        0.015931426907271094
32.82828282828283         0.01833076905604717
33.33333333333333         0.017397364419039236
33.83838383838384         0.013096054787287323
34.34343434343434         0.007939933090341269
34.848484848484844        0.0035184612187747744
35.35353535353536         0.004995586863374351
35.858585858585855        0.002942002576849207
36.36363636363637         0.005788780015215031
36.86868686868687         0.007814606609666765
37.37373737373737         0.0070383409503720195
37.87878787878788         0.00437511073912912
38.38383838383839         0.0027048216407760356
38.88888888888889         0.006819623164883251
39.3939393939394          0.021363482837281705
39.898989898989896        0.044810687809926524
40.4040404040404          0.07244804936196339
40.909090909090914        0.09599289552433338
41.41414141414141         0.10740723362313664
41.919191919191924        0.10311905150480029
42.42424242424242         0.08266052999070993
42.92929292929293         0.051778634593291975
43.43434343434344         0.02167147106680204
43.93939393939394         0.0019748379549024346
44.44444444444445         0.002723272889692672
44.949494949494955        0.017284271677584336
45.454545454545446        0.0343921246318841
45.959595959595966        0.04369712849021543
46.46464646464647         0.025284124997073467
46.969696969696976        0.022250303621832435
47.47474747474748         0.007106127575399988
47.97979797979797         5.790512552266294E-5
48.484848484848484        0.005316952783269973
48.98989898989899         0.018199958482606644
49.494949494949495        0.030512878848496003
50                        0.02989847324300484
